Dia;Casos acumulados;Casos nuevos ;Casos totales- Infectados;Susceptibles;Recuperados;Recuperados acumulados
2020-03-26;86578;16795;103373;330946627;707;2908
2020-03-27;105354;18776;124130;330925870;805;3713
2020-03-28;125524;20170;145694;330904306;1079;4792
2020-03-29;143829;18305;162134;330887866;840;5632
2020-03-30;165442;21613;187055;330862945;1196;6828
2020-03-31;191160;25718;216878;330833122;1573;8401
2020-04-01;217627;26467;244094;330805906;1753;10151
2020-04-02;247217;29590;276807;330773193;2009;12163
2020-04-03;279937;32720;312657;330737343;2415;14578
2020-04-04;314264;34327;348591;330701409;2402;16980
2020-04-05;340132;25868;366000;330684000;2319;19299
2020-04-06;371398;31266;402664;330647336;2314;21613
2020-04-07;406094;34696;440790;330609210;3051;24664
2020-04-08;439192;33098;472290;330577710;3626;28290
2020-04-09;473947;34755;508702;330541298;4257;32547
2020-04-10;508833;34886;543719;330506281;5201;37748
2020-04-11;539060;30227;569287;330480713;3059;40807
2020-04-12;566438;27378;593816;330456184;1836;42643
2020-04-13;593306;26868;620174;330429826;2309;44952
2020-04-14;623729;30423;654152;330395848;5305;50257
2020-04-15;654924;31195;686119;330363881;2868;53125
2020-04-16;686636;31712;718348;330331652;3373;56498
2020-04-17;718065;31429;749494;330300506;3568;60066
2020-04-18;746494;28429;774923;330275077;6822;66888
2020-04-19;772603;26109;798712;330251288;4185;71073
2020-04-20;801096;28493;829589;330220411;2716;73789
2020-04-21;827695;26599;854294;330195706;2184;75973
2020-04-22;857137;29442;886579;330163421;17917;93890
2020-04-23;891743;34606;926349;330123651;3790;97680
2020-04-24;928930;37187;966117;330083883;3402;101082
2020-04-25;960693;31763;992456;330057544;6883;107965
2020-04-26;987733;27040;1014773;330035227;1091;109056
2020-04-27;1012365;24632;1036997;330013003;4563;113619
2020-04-28;1037594;25229;1062823;329987177;4646;118265
2020-04-29;1066316;28722;1095038;329954962;6740;125005
2020-04-30;1097827;31511;1129338;329920662;5993;130998
2020-05-01;1132733;34906;1167639;329882361;16504;147502
2020-05-02;1161273;28540;1189813;329860187;2717;150219
2020-05-03;1186324;25051;1211375;329838625;2015;152234
2020-05-04;1209197;22873;1232070;329817930;6801;159035
2020-05-05;1234247;25050;1259297;329790703;4655;163690
2020-05-06;1259980;25733;1285713;329764287;6052;169742
2020-05-07;1288255;28275;1316530;329733470;3824;173565
2020-05-08;1316707;28452;1345159;329704841;6779;180344
2020-05-09;1341847;25140;1366987;329683013;20901;201245
2020-05-10;1361757;19910;1381667;329668333;10047;211292
2020-05-11;1380205;18448;1398653;329651347;10313;221605
2020-05-12;1402950;22745;1425695;329624305;16030;237635
2020-05-13;1424489;21539;1446028;329603972;6878;244513
2020-05-14;1451041;26552;1477593;329572407;9853;254366
2020-05-15;1475963;24922;1500885;329549115;4609;258975
2020-05-16;1500527;24564;1525091;329524909;17889;276864
2020-05-17;1519576;19049;1538625;329511375;7936;284800
2020-05-18;1542244;22668;1564912;329485088;5809;290609
2020-05-19;1562412;20168;1582580;329467420;8767;299376
2020-05-20;1588561;26149;1614710;329435290;4448;303824
2020-05-21;1614725;26164;1640889;329409111;5183;309007
2020-05-22;1639107;24382;1663489;329386511;15755;324762
2020-05-23;1661199;22092;1683291;329366709;12637;337399
